Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Burscough Bridge (33 kV / 11 kV),"344595.0","412486.0",Primary,33 kV / 11,Wrightington,Penwortham 
Bury Town Centre (33 kV / 6.6 kV),"380863.0","410807.0",Primary,33 kV / 6.6,Bury,Kearsley
Craggs Row & Bushell St (33 kV / 6.6 kV),"353809.0","430094.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Campbell St (33 kV / 11 kV),"372937.0","406428.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Cannon St (33 kV / 6.6 kV),"384064.0","398635.0",Primary,33 kV / 6.6,Red Bank,Whitegate
Capontree (33 kV / 11 kV),"352906.0","559671.0",Primary,33 kV / 11,Carlisle,Harker
Carleton (33 kV / 11 kV),"308796.0","498305.0",Primary,33 kV / 11,Egremont,Harker
Carlisle North (33 kV / 11 kV),"338547.0","560280.0",Primary,33 kV / 11,"-",Harker
Carr St (33 kV / 11 kV),"376984.0","401329.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Castleton (33 kV / 6.6 kV),"388461.0","411290.0",Primary,33 kV / 6.6,Castleton,Rochdale
Catterall Waterworks (33 kV / 6.6 kV),"349381.0","442178.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Cecil St (33 kV / 6.6 kV),"331301.0","437023.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
Central Manchester (33 kV / 6.6 kV),"384852.0","397718.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Chadderton (33 kV / 6.6 kV),"389161.0","403872.0",Primary,33 kV / 6.6,Chadderton,Whitegate
Chamberhall (33 kV / 6.6 kV),"380280.0","411215.0",Primary,33 kV / 6.6,Bury,Kearsley
Chapel Wharf (33 kV / 6.6 kV),"383499.0","398634.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Chassen Rd (33 kV / 6.6 kV),"375542.0","394453.0",Primary,33 kV / 6.6,Barton,Carrington
Chatsworth St (33 kV / 11 kV),"319188.0","470003.0",Primary,33 kV / 11,Barrow & Sandgate,Harker
Cheadle Heath (33 kV / 6.6 kV),"387062.0","389054.0",Primary,33 kV / 6.6,Adswood,Bredbury
Cheadle Hulme (33 kV / 11 kV),"387386.0","386308.0",Primary,33 kV / 11,Adswood,Bredbury
Cheetham Hill (33 kV / 6.6 kV),"383606.0","402218.0",Primary,33 kV / 6.6,Agecroft,Kearsley
Alderley & Chelford (33 kV / 11 kV),"382184.0","373490.0",Primary,33 kV / 11,Moss Nook,South Manchester
Chester Rd T11 & T12 (33 kV / 6.6 kV),"381030.0","396165.0",Primary,33 kV / 6.6,Stretford,South Manchester
