Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Peel St & Ribblesdale T13 (33 kV / 11 kV),"374463.0","441514.0",Primary,33 kV / 11,Padiham,Padiham
Pendleton (33 kV / 6.6 kV),"381161.0","398842.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Petteril Bank (33 kV / 11 kV),"341768.0","553686.0",Primary,33 kV / 11,Carlisle,Harker
Phillips Lane (33 kV / 6.6 kV),"387571.0","439522.0",Primary,33 kV / 6.6,Nelson,Padiham
Piccadilly (33 kV / 6.6 kV),"384427.0","398261.0",Primary,33 kV / 6.6,Bloom St,South Manchester
Pimbo (33 kV / 11 kV),"349148.0","404549.0",Primary,33 kV / 11,Skelmersdale,Washway Farm
Morton Park & Pirelli (33 kV / 11 kV),"339059.0","553548.0",Primary,33 kV / 11,Carlisle,Harker
Portwood (33 kV / 6.6 kV),"389826.0","390619.0",Primary,33 kV / 6.6,Vernon Park,Bredbury
Poulton (33 kV / 6.6 kV),"335679.0","439130.0",Primary,33 kV / 6.6,Bispham,Penwortham 
Poynton (33 kV / 11 kV),"392096.0","383493.0",Primary,33 kV / 11,Hazel Grove,Bredbury
Preesall (33 kV / 11 kV),"336965.0","446547.0",Primary,33 kV / 11,Thornton,Stanah
Preston East (33 kV / 6.6 kV),"356777.0","432926.0",Primary,33 kV / 6.6,Preston East,Penwortham 
Preston Old Rd (33 kV / 6.6 kV),"332562.0","434929.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
Prestwich (33 kV / 6.6 kV),"381392.0","404001.0",Primary,33 kV / 6.6,Agecroft,Kearsley
Pringle St (33 kV / 6.6 kV),"369088.0","427387.0",Primary,33 kV / 6.6,Blackburn,Penwortham 
Grane Rd & Prinny Hill (33 kV / 6.6 kV),"378328.0","423395.0",Primary,33 kV / 6.6,Rossendale,Padiham
Queens Park (33 kV / 6.6 kV),"385893.0","400645.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Radcliffe (33 kV / 11 kV),"377524.0","406160.0",Primary,33 kV / 11,"-",Kearsley
Randal St (33 kV / 6.6 kV),"368092.0","428515.0",Primary,33 kV / 6.6,Blackburn,Penwortham 
Rawtenstall Rd (33 kV / 6.6 kV),"379395.0","422143.0",Primary,33 kV / 6.6,Rossendale,Padiham
Reddish Vale (33 kV / 6.6 kV),"390147.0","393309.0",Primary,33 kV / 6.6,Vernon Park,Bredbury
Ribblesdale T14 (33 kV / 11 kV),"374759.0","443587.0",Primary,33 kV / 11,Padiham,Padiham
Ribbleton (33 kV / 6.6 kV),"356730.0","431506.0",Primary,33 kV / 6.6,Preston East,Penwortham 
Ringley (33 kV / 11 kV),"376120.0","405531.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Risley (33 kV / 11 kV),"365181.0","392989.0",Primary,33 kV / 11,"-",Bold
Robert Hall St (33 kV / 6.6 kV),"381359.0","397718.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Rochdale Central (33 kV / 6.6 kV),"389111.0","413393.0",Primary,33 kV / 6.6,Rochdale Central,Rochdale
Roman Rd (33 kV / 6.6 kV),"369058.0","426505.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Romiley (33 kV / 11 kV),"393626.0","390716.0",Primary,33 kV / 11,Vernon Park,Bredbury
Rossall (33 kV / 6.6 kV),"331916.0","445505.0",Primary,33 kV / 6.6,Thornton,Stanah
Royton (33 kV / 6.6 kV),"392426.0","407533.0",Primary,33 kV / 6.6,Royton,Whitegate
Sale (33 kV / 6.6 kV),"378952.0","392177.0",Primary,33 kV / 6.6,Sale,Carrington
Sale Moor (33 kV / 6.6 kV),"379671.0","391133.0",Primary,33 kV / 6.6,Sale,Carrington
Salford Quays (33 kV / 6.6 kV),"380334.0","397555.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Sandgate (33 kV / 11 kV),"321492.0","468870.0",Primary,33 kV / 11,Barrow & Sandgate,Harker
Scarisbrick (33 kV / 11 kV),"338069.0","412086.0",Primary,33 kV / 11,Skelmersdale,Washway Farm
Sebergham (33 kV / 11 kV),"335344.0","542653.0",Primary,33 kV / 11,Carlisle,Harker
Sedbergh (33 kV / 11 kV),"365151.0","491747.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Selsmire (33 kV / 11 kV),"361018.0","507505.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Settle (33 kV / 11 kV),"381588.0","463721.0",Primary,33 kV / 11,Padiham,Padiham
Moss Side (Leyland) & Seven Stars (33 kV / 11 kV),"352653.0","421636.0",Primary,33 kV / 11,Leyland,Penwortham 
Shannon St South (33 kV / 6.6 kV),"330806.0","435291.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
Shap (33 kV / 11 kV),"356910.0","513357.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Shaw (33 kV / 6.6 kV),"394298.0","409450.0",Primary,33 kV / 6.6,Royton,Whitegate
Siddick (33 kV / 11 kV),"300289.0","530805.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Silloth (33 kV / 11 kV),"311307.0","553464.0",Primary,33 kV / 11,Carlisle,Harker
Skelmersdale (33 kV / 11 kV),"347198.0","407434.0",Primary,33 kV / 11,Skelmersdale,Washway Farm
Hutton End & Skelton C (33 kV / 11 kV),"342672.0","538337.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Slipway (33 kV / 11 kV),"297180.0","518183.0",Primary,33 kV / 11,Egremont,Harker
Snipe (33 kV / 6.6 kV),"391844.0","398322.0",Primary,33 kV / 6.6,Droylsden,Stalybridge
S.E. Macclesfield (33 kV / 11 kV),"392001.0","372504.0",Primary,33 kV / 11,Macclesfield,Macclesfield
South Park (33 kV / 11 kV),"336410.0","427512.0",Primary,33 kV / 11,Lytham,Penwortham 
S.W. Macclesfield (33 kV / 11 kV),"390968.0","373004.0",Primary,33 kV / 11,Macclesfield,Macclesfield
Spa Rd (33 kV / 6.6 kV),"371065.0","409109.0",Primary,33 kV / 6.6,Bolton,Kearsley
Spadeadam 132/11Kv (33 kV / 11 kV),"361282.0","570359.0",Primary,33 kV / 11,"-",Harker
Spotland (33 kV / 6.6 kV),"387882.0","414309.0",Primary,33 kV / 6.6,Rochdale Central,Rochdale
Spring Cottage (33 kV / 6.6 kV),"385446.0","437481.0",Primary,33 kV / 6.6,Nelson,Padiham
Spring Garden St 11Kv (33 kV / 11 kV),"347661.0","461494.0",Primary,33 kV / 11,Lancaster,Heysham
Spring Garden St 6.6Kv (33 kV / 6.6 kV),"347651.0","461484.0",Primary,33 kV / 6.6,Lancaster,Heysham
Squires Gate (33 kV / 6.6 kV),"332037.0","432063.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
St Annes (33 kV / 6.6 kV),"331716.0","429849.0",Primary,33 kV / 6.6,Lytham,Penwortham 
St Marys (33 kV / 6.6 kV),"392582.0","405316.0",Primary,33 kV / 6.6,Greenhill,Whitegate
St Marys St (33 kV / 6.6 kV),"354932.0","429640.0",Primary,33 kV / 6.6,Ribble,Penwortham 
St Thomas Rd (33 kV / 6.6 kV),"332713.0","428643.0",Primary,33 kV / 6.6,Lytham,Penwortham 
Stainburn (33 kV / 11 kV),"302535.0","529330.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Standish (33 kV / 11 kV),"356139.0","410059.0",Primary,33 kV / 11,Wrightington,Penwortham 
Strangeways (33 kV / 6.6 kV),"383780.0","399743.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Strawberry Bank (33 kV / 6.6 kV),"376338.0","429396.0",Primary,33 kV / 6.6,Huncoat,Padiham
Stuart St (33 kV / 6.6 kV),"387190.0","398835.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Stubbins (33 kV / 11 kV),"379112.0","418005.0",Primary,33 kV / 11,Rossendale,Padiham
Swinton (33 kV / 11 kV),"378367.0","401718.0",Primary,33 kV / 11,Agecroft,Kearsley
Tame Valley (33 kV / 6.6 kV),"395148.0","398108.0",Primary,33 kV / 6.6,Hartshead-Heyrod,Stalybridge
Tardy Gate (33 kV / 11 kV),"353958.0","426066.0",Primary,33 kV / 11,Ribble,Penwortham 
Tarleton (33 kV / 11 kV),"344741.0","422417.0",Primary,33 kV / 11,Wrightington,Penwortham 
The Height (33 kV / 6.6 kV),"379792.0","400497.0",Primary,33 kV / 6.6,Agecroft,Kearsley
Thornton (33 kV / 11 kV),"334207.0","442111.0",Primary,33 kV / 11,Bispham,Penwortham 
Townley St (33 kV / 11 kV),"387242.0","405960.0",Primary,33 kV / 11,Chadderton,Whitegate
Trafford (33 kV / 6.6 kV),"380714.0","396551.0",Primary,33 kV / 6.6,Stretford,South Manchester
Trafford Park North (33 kV / 6.6 kV),"378738.0","397694.0",Primary,33 kV / 6.6,Barton,Carrington
Trimpell (33 kV / 11 kV),"341861.0","458979.0",Primary,33 kV / 11,"-",Heysham
Trinity (33 kV / 6.6 kV),"382649.0","398230.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Tulketh (33 kV / 6.6 kV),"352393.0","431036.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Ulverston (33 kV / 11 kV),"327495.0","477808.0",Primary,33 kV / 11,Ulverston,Harker
Union Rd (33 kV / 6.6 kV),"372174.0","410598.0",Primary,33 kV / 6.6,Bolton,Kearsley
Upholland (33 kV / 11 kV),"352531.0","404369.0",Primary,33 kV / 11,Orrell,Kirkby
Urmston (33 kV / 6.6 kV),"377117.0","395709.0",Primary,33 kV / 6.6,Stretford,South Manchester
Victoria Park (33 kV / 6.6 kV),"385373.0","395948.0",Primary,33 kV / 6.6,Longsight,Bredbury
Warbreck (33 kV / 6.6 kV),"331775.0","438420.0",Primary,33 kV / 6.6,Bispham,Penwortham 
Wardleworth (33 kV / 6.6 kV),"390339.0","414050.0",Primary,33 kV / 6.6,Belfield,Rochdale
Warton (33 kV / 6.6 kV),"341290.0","428540.0",Primary,33 kV / 6.6,Peel,Penwortham 
Waterhead (33 kV / 6.6 kV),"394942.0","405940.0",Primary,33 kV / 6.6,Greenhill,Whitegate
Waterswallows (33 kV / 11 kV),"407734.0","375459.0",Primary,33 kV / 11,Buxton,Stalybridge
Weaste (33 kV / 6.6 kV),"378751.0","398897.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Werneth (33 kV / 6.6 kV),"391273.0","403453.0",Primary,33 kV / 6.6,Greenhill,Whitegate
Wesley Place Bacup (33 kV / 6.6 kV),"386475.0","422130.0",Primary,33 kV / 6.6,Rossendale,Padiham
West Didsbury (33 kV / 6.6 kV),"383306.0","392514.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Westgate (33 kV / 6.6 kV),"343077.0","463204.0",Primary,33 kV / 6.6,Lancaster,Heysham
Westhoughton (33 kV / 11 kV),"365831.0","407025.0",Primary,33 kV / 11,Westhoughton,Kearsley
Westlinton (33 kV / 11 kV),"339551.0","564489.0",Primary,33 kV / 11,Carlisle,Harker
Whalley (33 kV / 11 kV),"373376.0","436176.0",Primary,33 kV / 11,Padiham,Padiham
Whalley Range (33 kV / 6.6 kV),"382923.0","394645.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Whasset (33 kV / 11 kV),"350648.0","481468.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Whittle Le Woods (33 kV / 11 kV),"357874.0","421203.0",Primary,33 kV / 11,Leyland,Penwortham 
Whitworth (33 kV / 6.6 kV),"388779.0","419157.0",Primary,33 kV / 6.6,Rochdale Central,Rochdale
Wigton (33 kV / 11 kV),"325814.0","549933.0",Primary,33 kV / 11,Carlisle,Harker
Willow Hey (33 kV / 11 kV),"347779.0","406066.0",Primary,33 kV / 11,Skelmersdale,Washway Farm
Willowbank (33 kV / 6.6 kV),"391885.0","406064.0",Primary,33 kV / 6.6,Greenhill,Whitegate
Willowholme (33 kV / 11 kV),"338653.0","556688.0",Primary,33 kV / 11,Carlisle,Harker
Wilmslow (33 kV / 11 kV),"384710.0","381286.0",Primary,33 kV / 11,Moss Nook,South Manchester
Windermere (33 kV / 11 kV),"341657.0","498418.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Winifred Rd (33 kV / 6.6 kV),"389971.0","388470.0",Primary,33 kV / 6.6,Adswood,Bredbury
Withington (33 kV / 6.6 kV),"384841.0","392774.0",Primary,33 kV / 6.6,West Didsbury,South Manchester
Withyfold Drive (33 kV / 11 kV),"392132.0","374352.0",Primary,33 kV / 11,Macclesfield,Macclesfield
Woodbine St (33 kV / 6.6 kV),"390519.0","412388.0",Primary,33 kV / 6.6,Castleton,Rochdale
Woodfield Rd (33 kV / 11 kV),"358258.0","418014.0",Primary,33 kV / 11,Wrightington,Penwortham 
Woodhill Lane (33 kV / 6.6 kV),"343294.0","463785.0",Primary,33 kV / 6.6,Lancaster,Heysham
Woodhouse Park (33 kV / 11 kV),"382132.0","386340.0",Primary,33 kV / 11,Moss Nook,South Manchester
Woodley (33 kV / 11 kV),"393116.0","392019.0",Primary,33 kV / 11,Vernon Park,Bredbury
Woolfold (33 kV / 11 kV),"378874.0","411666.0",Primary,33 kV / 11,Bury,Kearsley
Wordsworth St (33 kV / 6.6 kV),"370709.0","410873.0",Primary,33 kV / 6.6,Bolton,Kearsley
Worsley Mesnes (33 kV / 6.6 kV),"357435.0","403977.0",Primary,33 kV / 6.6,Wigan,Kirkby
Wrightington (33 kV / 11 kV),"353466.0","413290.0",Primary,33 kV / 11,Wrightington,Penwortham 
Yealand (33 kV / 11 kV),"351537.0","475934.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
