GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,106.585,105.279,105.793,105.712,105.980,106.389,106.146,104.361,103.013,102.043,101.208,100.889,101.528,102.077,102.666,103.227,103.724,104.504,105.263,105.991,106.695,107.117,107.604,108.255,108.882,109.462,110.004,110.463,110.876,111.234,111.548,111.807
BISW_1,169.273,167.199,168.016,167.886,168.313,168.962,168.576,165.741,163.600,162.059,160.734,160.228,161.243,162.114,163.049,163.940,164.729,165.968,167.174,168.330,169.447,170.118,170.892,171.925,172.922,173.842,174.704,175.432,176.088,176.657,177.155,177.566
BLYTB1,81.000,80.008,80.398,80.337,80.541,80.851,80.667,79.310,78.285,77.548,76.914,76.672,77.158,77.574,78.022,78.448,78.826,79.419,79.996,80.549,81.084,81.404,81.775,82.269,82.746,83.187,83.599,83.947,84.261,84.534,84.772,84.969
BLYTH132,25.125,24.817,24.939,24.920,24.983,25.079,25.022,24.601,24.283,24.055,23.858,23.783,23.933,24.063,24.202,24.334,24.451,24.635,24.814,24.985,25.151,25.251,25.366,25.519,25.667,25.804,25.931,26.040,26.137,26.221,26.295,26.356
BOAG_P,5.715,5.645,5.673,5.668,5.683,5.704,5.691,5.596,5.523,5.471,5.427,5.410,5.444,5.473,5.505,5.535,5.562,5.603,5.644,5.683,5.721,5.743,5.770,5.805,5.838,5.869,5.898,5.923,5.945,5.964,5.981,5.995
BOLN_1,335.608,331.496,333.115,332.859,333.705,334.991,334.226,328.606,324.360,321.306,318.679,317.675,319.687,321.414,323.268,325.034,326.599,329.056,331.446,333.738,335.954,337.283,338.818,340.867,342.842,344.667,346.375,347.819,349.120,350.248,351.236,352.051
BONN,21.859,21.591,21.697,21.680,21.735,21.819,21.769,21.403,21.126,20.928,20.756,20.691,20.822,20.935,21.055,21.170,21.272,21.432,21.588,21.737,21.882,21.968,22.068,22.202,22.330,22.449,22.560,22.654,22.739,22.813,22.877,22.930
BOTW_1,65.497,64.694,65.010,64.960,65.126,65.376,65.227,64.130,63.302,62.706,62.193,61.997,62.390,62.727,63.089,63.433,63.739,64.218,64.685,65.132,65.564,65.824,66.123,66.523,66.909,67.265,67.598,67.880,68.134,68.354,68.547,68.706
BRAC_P,13.362,13.198,13.263,13.253,13.286,13.337,13.307,13.083,12.914,12.793,12.688,12.648,12.728,12.797,12.871,12.941,13.003,13.101,13.196,13.288,13.376,13.429,13.490,13.571,13.650,13.723,13.791,13.848,13.900,13.945,13.984,14.017
BRAI_1,98.283,97.078,97.553,97.478,97.726,98.102,97.878,96.232,94.989,94.094,93.325,93.031,93.620,94.126,94.669,95.186,95.644,96.364,97.064,97.735,98.384,98.773,99.223,99.823,100.401,100.936,101.436,101.859,102.240,102.570,102.859,103.098
BRAP,9.704,9.585,9.632,9.625,9.649,9.686,9.664,9.502,9.379,9.291,9.215,9.186,9.244,9.294,9.347,9.399,9.444,9.515,9.584,9.650,9.714,9.753,9.797,9.856,9.913,9.966,10.016,10.057,10.095,10.128,10.156,10.180
BRAW_1,152.605,150.736,151.472,151.355,151.740,152.325,151.977,149.422,147.491,146.102,144.908,144.451,145.366,146.151,146.994,147.797,148.509,149.626,150.713,151.755,152.763,153.367,154.065,154.997,155.895,156.725,157.501,158.158,158.749,159.263,159.712,160.082
BRED_1,117.820,116.377,116.945,116.855,117.152,117.604,117.335,115.362,113.871,112.799,111.877,111.525,112.231,112.837,113.488,114.108,114.657,115.520,116.359,117.164,117.942,118.408,118.947,119.666,120.360,121.000,121.600,122.107,122.564,122.960,123.307,123.593
BRFO_1,268.912,265.618,266.915,266.710,267.388,268.419,267.805,263.302,259.900,257.453,255.348,254.544,256.156,257.540,259.025,260.440,261.694,263.662,265.578,267.414,269.190,270.254,271.485,273.126,274.709,276.171,277.540,278.697,279.739,280.644,281.435,282.087
BRID_P,8.419,8.316,8.356,8.350,8.371,8.403,8.384,8.243,8.137,8.060,7.994,7.969,8.020,8.063,8.109,8.154,8.193,8.255,8.315,8.372,8.428,8.461,8.499,8.551,8.600,8.646,8.689,8.725,8.758,8.786,8.811,8.831
BRIM_1,132.878,131.250,131.891,131.790,132.125,132.634,132.331,130.106,128.425,127.216,126.176,125.778,126.575,127.258,127.992,128.692,129.311,130.284,131.230,132.138,133.015,133.541,134.149,134.960,135.743,136.465,137.141,137.713,138.228,138.675,139.066,139.388
BRLE_1,213.364,210.750,211.780,211.617,212.155,212.973,212.486,208.913,206.214,204.272,202.602,201.964,203.243,204.341,205.519,206.642,207.637,209.199,210.719,212.176,213.585,214.429,215.405,216.708,217.964,219.124,220.210,221.128,221.955,222.672,223.300,223.818
BROA_P,3.447,3.405,3.421,3.419,3.427,3.440,3.433,3.375,3.331,3.300,3.273,3.263,3.283,3.301,3.320,3.338,3.354,3.379,3.404,3.428,3.450,3.464,3.480,3.501,3.521,3.540,3.557,3.572,3.586,3.597,3.607,3.616
BROR_P,2.079,2.053,2.063,2.062,2.067,2.075,2.070,2.035,2.009,1.990,1.974,1.968,1.980,1.991,2.002,2.013,2.023,2.038,2.053,2.067,2.081,2.089,2.099,2.111,2.123,2.135,2.145,2.154,2.162,2.169,2.175,2.180
BROX,16.916,16.709,16.790,16.777,16.820,16.885,16.846,16.563,16.349,16.195,16.063,16.012,16.113,16.200,16.294,16.383,16.462,16.586,16.706,16.822,16.933,17.000,17.078,17.181,17.281,17.372,17.459,17.531,17.597,17.654,17.704,17.745
BRWA1,75.773,74.845,75.210,75.153,75.344,75.634,75.461,74.192,73.234,72.544,71.951,71.724,72.179,72.569,72.987,73.386,73.739,74.294,74.834,75.351,75.851,76.151,76.498,76.961,77.407,77.819,78.204,78.530,78.824,79.079,79.302,79.486
BUMU_P,13.475,13.310,13.375,13.364,13.398,13.450,13.419,13.194,13.023,12.900,12.795,12.755,12.835,12.905,12.979,13.050,13.113,13.212,13.308,13.400,13.489,13.542,13.604,13.686,13.765,13.838,13.907,13.965,14.017,14.063,14.102,14.135
BURM_1,151.099,149.247,149.976,149.861,150.242,150.821,150.477,147.946,146.035,144.660,143.477,143.025,143.931,144.708,145.543,146.338,147.043,148.149,149.225,150.257,151.255,151.853,152.544,153.466,154.356,155.177,155.946,156.596,157.182,157.690,158.135,158.502
BUSH_1,68.836,67.993,68.325,68.273,68.446,68.710,68.553,67.400,66.529,65.903,65.364,65.158,65.571,65.925,66.305,66.668,66.989,67.493,67.983,68.453,68.907,69.180,69.495,69.915,70.320,70.695,71.045,71.341,71.608,71.839,72.042,72.209
BUST_1,157.540,155.610,156.370,156.250,156.648,157.251,156.892,154.254,152.261,150.827,149.594,149.123,150.067,150.878,151.748,152.577,153.312,154.465,155.587,156.663,157.703,158.327,159.048,160.009,160.937,161.793,162.595,163.273,163.883,164.413,164.877,165.259
CAAD_P,5.980,5.907,5.936,5.931,5.946,5.969,5.955,5.855,5.780,5.725,5.678,5.660,5.696,5.727,5.760,5.792,5.819,5.863,5.906,5.947,5.986,6.010,6.037,6.074,6.109,6.141,6.172,6.198,6.221,6.241,6.258,6.273
CAFA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CAMB_01,13.213,13.052,13.115,13.105,13.139,13.189,13.159,12.938,12.771,12.650,12.547,12.507,12.587,12.655,12.728,12.797,12.859,12.955,13.050,13.140,13.227,13.279,13.340,13.420,13.498,13.570,13.637,13.694,13.745,13.790,13.829,13.861
